Date,Symbol,Open,High,Low,Adj Close,Volume,Volume USD
2015-10-08,BTCUSD,242.5,245,242.5,243.95,18.8,4595.84
2015-10-09,BTCUSD,243.95,249.97,243.6,245.39,30.99,7651.63
2015-10-10,BTCUSD,245.39,246.3,244.6,246.3,12.17,2984.44
2015-10-11,BTCUSD,246.3,249.5,246.3,249.5,12.22,3021.12
2015-10-12,BTCUSD,249.5,249.5,247.6,247.6,38.28,9493.89
2015-10-13,BTCUSD,247.6,252.87,245.75,250,51.71,12875.4
2015-10-14,BTCUSD,250,254.75,250,253,119.54,30115.77
2015-10-15,BTCUSD,253,258.98,253,255.26,197.11,50535.45
2015-10-16,BTCUSD,255.9,269.98,255.9,263.75,101.13,26743.35
2015-10-17,BTCUSD,263.75,285,263.14,272.47,664.66,180981.35
2015-10-18,BTCUSD,272.47,274.89,264.01,268.46,53.56,14484
2015-10-19,BTCUSD,268.46,274.77,265,272.49,132.93,35836.54
2015-10-20,BTCUSD,272.49,275.99,266.02,272.1,202.09,54949.01
2015-10-21,BTCUSD,272.1,272.75,269.5,271.64,364.6,99066.75
2015-10-22,BTCUSD,271.64,279.98,271.23,276.89,588.5,162664.5
2015-10-23,BTCUSD,276.89,283.95,276.89,280.2,590.31,164962.53
2015-10-24,BTCUSD,280.2,285,280.19,285,438.03,123247.67
2015-10-25,BTCUSD,285,297,285,289.38,46.26,13502.41
2015-10-26,BTCUSD,289.38,296.99,283.99,288.54,339.76,97784.33
2015-10-27,BTCUSD,288.54,299,288.53,298.2,691.25,202956.9
2015-10-28,BTCUSD,298.2,309,298.2,307.05,1219.05,369278.2
2015-10-29,BTCUSD,307.05,320.01,261.51,314.89,1675.85,522681.16
2015-10-30,BTCUSD,314.89,374,314.89,330.36,2078.47,681306.37
2015-10-31,BTCUSD,330.36,336.69,309.15,315,193.96,62936.19
2015-11-01,BTCUSD,315,330,299.76,330,377.15,120386.11
2015-11-02,BTCUSD,330,370,326.1,367.85,3028.56,1062068.18
2015-11-03,BTCUSD,367.85,424.62,362.25,400,3009.34,1182587.15
2015-11-04,BTCUSD,400,500,365,410,2104.01,957774.87
2015-11-05,BTCUSD,410,450,369.73,379.42,1655.25,671522.45
2015-11-06,BTCUSD,379.42,399.7,354.01,376,1183.23,443559.45
2015-11-07,BTCUSD,376,391.92,374.97,388.13,824.89,316125.45
2015-11-08,BTCUSD,388.13,389.61,363.47,377,152.4,58646.32
2015-11-09,BTCUSD,377,386.79,361.43,381.46,1134.47,426641.07
2015-11-10,BTCUSD,381.46,383,236,336.18,728.85,255925.57
2015-11-11,BTCUSD,336.18,343.75,300,306,1225.57,385120.65
2015-11-12,BTCUSD,306,344.8,300.51,335.5,1215.85,397146.18
2015-11-13,BTCUSD,335.5,348.58,326.6,338.45,478.64,160014.56
2015-11-14,BTCUSD,338.45,2200,332.92,349.99,616.59,254383.14
2015-11-15,BTCUSD,349.99,354.99,317.76,318.66,396.53,132609.66
2015-11-16,BTCUSD,318.66,338.99,315,336.99,475.92,155088.38
2015-11-17,BTCUSD,336.99,340.24,328.33,334.51,892.06,299171.45
2015-11-18,BTCUSD,334.51,337.9,330.01,335.99,1545.01,517355.7
2015-11-19,BTCUSD,335.99,335.99,322.34,325.01,908.48,302039.17
2015-11-20,BTCUSD,325.01,328.3,310,320.51,371.67,119626.03
2015-11-21,BTCUSD,320.51,328.97,318.28,325.22,324.76,105230.72
2015-11-22,BTCUSD,325.22,328.75,320.99,324.37,301.36,97804.72
2015-11-23,BTCUSD,324.37,326.32,320.01,322.75,1010.84,326786.37
2015-11-24,BTCUSD,322.75,324.53,305,317.52,884.39,283519.45
2015-11-25,BTCUSD,317.52,332,315.21,327.5,546.09,178654.88
2015-11-26,BTCUSD,327.5,365.37,327.5,360,510.4,175433.89
2015-11-27,BTCUSD,360,369.04,347.76,360.4,1023.14,370511.16
2015-11-28,BTCUSD,360.4,360.41,352,357,161.21,57658.18
2015-11-29,BTCUSD,357,380,354.01,368.11,462.71,168299.4
2015-11-30,BTCUSD,368.11,380.99,367.5,377.29,1510.3,565830.65
2015-12-01,BTCUSD,377.29,379.99,355.01,363.01,511.06,186714.7
2015-12-02,BTCUSD,363.01,364.03,349,361.18,422.45,151625.88
2015-12-03,BTCUSD,361.18,369.99,358,361.5,965.2,350211.87
2015-12-04,BTCUSD,361.5,364.48,356,362.03,912.81,329262.86
2015-12-05,BTCUSD,362.03,389.9,361.53,385.82,746.45,278215.04
2015-12-06,BTCUSD,385.82,403.33,385.82,395.5,220.74,86851.71
2015-12-07,BTCUSD,395.5,400,385.01,398.62,779.95,307497.84
2015-12-08,BTCUSD,398.62,412.13,390.84,412.13,501.04,200415.53
2015-12-09,BTCUSD,412.13,424.48,347.5,418.98,695.45,285473.2
2015-12-10,BTCUSD,418.98,422.89,412.54,416.49,652.46,272274.87
2015-12-11,BTCUSD,416.49,454.97,416.49,452,905.65,395780.18
2015-12-12,BTCUSD,452,473.34,408.45,435,537.74,234650.28
2015-12-13,BTCUSD,435,441.53,422,435.9,120.12,52006.96
2015-12-14,BTCUSD,435.9,450.36,429.86,445.7,1019.46,456179.39
2015-12-15,BTCUSD,445.7,480,445.1,465.99,974.16,447962.48
2015-12-16,BTCUSD,465.99,466.24,440,456.34,452.41,206807.6
2015-12-17,BTCUSD,456.34,459.89,450.25,458,312.18,142561.92
2015-12-18,BTCUSD,458,465.73,456.56,463.02,497.74,229780.19
2015-12-19,BTCUSD,463.02,466.93,455,461.8,114.09,52855.37
2015-12-20,BTCUSD,461.8,462.99,432.33,439.51,321,143210.6
2015-12-21,BTCUSD,439.51,449.99,428.52,437.99,190.11,83319.44
2015-12-22,BTCUSD,437.99,442.46,434.79,435.82,286.88,125801.91
2015-12-23,BTCUSD,435.82,444.71,435.75,444.54,411.18,181367.62
2015-12-24,BTCUSD,444.54,457.22,444.54,455.46,375.44,169870.08
2015-12-25,BTCUSD,455.46,461.86,453.99,458.59,79.34,36386.66
2015-12-26,BTCUSD,458.59,458.59,407.07,418.72,387.26,164472.22
2015-12-27,BTCUSD,418.72,423.64,407.77,422.06,172.62,71710.65
2015-12-28,BTCUSD,422.06,429.31,418.53,420.8,89.53,37899.56
