Date,Symbol,Open,High,Low,Adj Close,Volume,Volume USD
2020-04-10,BTCUSD,7315.25,7315.25,7315.25,7315.25,0.0,0.0
2020-04-09,BTCUSD,7369.6,7378.85,7115.04,7315.25,2237.13,16310014.53
2020-04-08,BTCUSD,7201.81,7432.23,7152.8,7369.6,2483.6,18138080.27
2020-04-07,BTCUSD,7336.96,7468.42,7078,7201.81,2333.34,17047120.32
2020-04-06,BTCUSD,6775.21,7369.76,6771.01,7336.96,3727.47,26533750.17
2020-04-05,BTCUSD,6870.2,6907.9,6678.6,6775.21,1275.49,8662210.8
2020-04-04,BTCUSD,6740.88,7016,6658.68,6870.2,1671.2,11383223.34
2020-04-03,BTCUSD,6801,7048.72,6609.47,6740.88,2881.24,19692803.68
2020-04-02,BTCUSD,6666.16,7273,6579.69,6801,5345.3,36577028.28
2020-04-01,BTCUSD,6428.54,6714.76,6156.47,6666.16,2759.23,17697565.17
2020-03-31,BTCUSD,6406.91,6530.83,6341.25,6428.54,1459.01,9418155.0
2020-03-30,BTCUSD,5882.7,6629.18,5857.41,6406.91,3108.1,19612581.42
2020-03-29,BTCUSD,6258.01,6283.41,5873.93,5882.7,1827.65,11038076.3
2020-03-28,BTCUSD,6378.4,6378.4,6038.09,6258.01,2087.45,12958586.63
2020-03-27,BTCUSD,6728.44,6869.5,6268.5,6378.4,2571.11,17079624.31
2020-03-26,BTCUSD,6694.73,6793.19,6530.01,6728.44,2182.88,14548179.67
2020-03-25,BTCUSD,6775.57,6977.69,6471.08,6694.73,4931.72,32952771.61
2020-03-24,BTCUSD,6500,6866.7,6405,6775.57,6957.49,46293922.63
2020-03-23,BTCUSD,5839.44,6650,5689.92,6500,8255.2,51170869.57
2020-03-22,BTCUSD,6208.45,6416.5,5748.14,5839.44,4005.85,24126014.49
2020-03-21,BTCUSD,6205.18,6464.21,5863.67,6208.45,3239.75,19987972.41
2020-03-20,BTCUSD,6191.02,6961.65,5660.77,6205.18,8626.14,55231382.35
2020-03-19,BTCUSD,5420.45,6436.99,5270,6191.02,8994.38,53179189.55
2020-03-18,BTCUSD,5343.07,5450,5019.72,5420.45,5301.15,27947785.08
2020-03-17,BTCUSD,5035.56,5563.18,4929.59,5343.07,6392.89,33945915.86
2020-03-16,BTCUSD,5343.45,5350.72,4428.83,5035.56,13639.45,66652878.27
2020-03-15,BTCUSD,5169.05,5987.11,5091.43,5343.45,5471.53,29486778.47
2020-03-14,BTCUSD,5653.03,5780,5051.95,5169.05,3360.1,18050549.01
2020-03-13,BTCUSD,4830.45,6000,3901.25,5653.03,18950.63,96600762.02
2020-03-12,BTCUSD,7935.49,7966.08,4600,4830.45,18359.23,110860932.23
2020-03-11,BTCUSD,7881.02,8020,7590.62,7935.49,2011.15,15747210.23
2020-03-10,BTCUSD,7932.95,8153.88,7705,7881.02,3513.34,27958201.88
2020-03-09,BTCUSD,8038.84,8183.18,7310,7932.95,5179.97,40591741.79
2020-03-08,BTCUSD,8902.65,8905.05,8000.02,8038.84,1824.4,15265287.87
